"Cell type","Evidence type","Feature name","Location","Source"
"Osteobl","Hists & Pols","H2AZ","13:32314774-32315453","ENCODE"
"Osteobl","Hists & Pols","H2AZ","13:32315467-32316948","ENCODE"
"Osteobl","Hists & Pols","H3K4me3","13:32314779-32316885","ENCODE"
"Osteobl","Hists & Pols","H3K4me2","13:32314806-32317098","ENCODE"
"Osteobl","Hists & Pols","H3K27ac","13:32314921-32316956","ENCODE"
"Ovary","Hists & Pols","H3K4me3","13:32315136-32316359","Roadmap Epigenomics"
"Pancreas","Hists & Pols","H3K4me1","13:32314480-32315280","Roadmap Epigenomics"
"Pancreas","Hists & Pols","H3K4me3","13:32315035-32316357","Roadmap Epigenomics"
"Pancreas","Hists & Pols","H3K27ac","13:32315101-32315483","Roadmap Epigenomics"
"Pancreas","Hists & Pols","H3K36me3","13:32317000-32317180","Roadmap Epigenomics"
"Placenta","Hists & Pols","H3K4me1","13:32314100-32316520","Roadmap Epigenomics"
"Placenta","Hists & Pols","H3K4me1","13:32316780-32317320","Roadmap Epigenomics"
"Placenta","Hists & Pols","H3K27ac","13:32314253-32316582","Roadmap Epigenomics"
"Placenta","Hists & Pols","H3K4me3","13:32314482-32316687","Roadmap Epigenomics"
"Psoas Muscle","Hists & Pols","H3K4me3","13:32314914-32316550","Roadmap Epigenomics"
"Psoas Muscle","Hists & Pols","H3K27ac","13:32315058-32315866","Roadmap Epigenomics"
"Psoas Muscle","Hists & Pols","H3K4me1","13:32316100-32316300","Roadmap Epigenomics"
"Right Atrium","Hists & Pols","H3K4me1","13:32314500-32314980","Roadmap Epigenomics"
"Right Atrium","Hists & Pols","H3K4me3","13:32314729-32316497","Roadmap Epigenomics"
"Right Atrium","Hists & Pols","H3K27ac","13:32315011-32315467","Roadmap Epigenomics"
"Right Atrium","Hists & Pols","H3K36me3","13:32316760-32317340","Roadmap Epigenomics"
"SKNSHRA","DNase1 & TFBS","USF1","13:32315056-32315807","ENCODE"
"SKNSHRA","DNase1 & TFBS","Yy1","13:32315743-32316302","ENCODE"
"Small Intestine","Hists & Pols","H3K27ac","13:32314968-32316399","Roadmap Epigenomics"
"Small Intestine","Hists & Pols","H3K4me3","13:32315503-32315882","Roadmap Epigenomics"
"Spleen","Hists & Pols","H3K4me1","13:32314380-32315360","Roadmap Epigenomics"
"Spleen","Hists & Pols","H3K27ac","13:32314771-32316346","Roadmap Epigenomics"
"T cells (PB) Roadmap","Hists & Pols","H3K4me1","13:32314100-32315560","Roadmap Epigenomics"
"T cells (PB) Roadmap","Hists & Pols","H3K4me1","13:32315640-32317180","Roadmap Epigenomics"
"T cells (PB) Roadmap","Hists & Pols","H3K27ac","13:32314665-32316156","Roadmap Epigenomics"
"T cells (PB) Roadmap","Hists & Pols","H3K4me3","13:32314910-32316449","Roadmap Epigenomics"
"Thymus","Hists & Pols","H3K4me3","13:32314783-32316652","Roadmap Epigenomics"
"Thymus","Hists & Pols","H3K4me1","13:32314820-32315260","Roadmap Epigenomics"
"Thymus","Hists & Pols","H3K27ac","13:32314968-32315456","Roadmap Epigenomics"
"Thymus","Hists & Pols","H3K36me3","13:32315280-32315800","Roadmap Epigenomics"
"eosinophil (VB)","Hists & Pols","H3K4me1","13:32314200-32315080","BLUEPRINT"
"eosinophil (VB)","Hists & Pols","H3K4me1","13:32315800-32317240","BLUEPRINT"
"eosinophil (VB)","Hists & Pols","H3K27ac","13:32314945-32315527","BLUEPRINT"
"erythroblast (CB)","Hists & Pols","H3K4me1","13:32314220-32315520","BLUEPRINT"
"erythroblast (CB)","Hists & Pols","H3K4me1","13:32315900-32318900","BLUEPRINT"
"erythroblast (CB)","Hists & Pols","H3K27ac","13:32314989-32315456","BLUEPRINT"
"erythroblast (CB)","Hists & Pols","H3K27ac","13:32315517-32315977","BLUEPRINT"
"iPS DF 19.11","Hists & Pols","H3K4me1","13:32314420-32315100","Roadmap Epigenomics"
"iPS DF 19.11","Hists & Pols","H3K4me1","13:32315260-32315780","Roadmap Epigenomics"
"iPS DF 19.11","Hists & Pols","H3K4me1","13:32316880-32317280","Roadmap Epigenomics"
"iPS DF 19.11","Hists & Pols","H3K27ac","13:32314965-32315890","Roadmap Epigenomics"
"iPS DF 19.11","Hists & Pols","H3K27ac","13:32315896-32316340","Roadmap Epigenomics"
"iPS DF 19.11","Hists & Pols","H3K4me3","13:32315079-32316455","Roadmap Epigenomics"
"iPS DF 19.11","Hists & Pols","H3K9me3","13:32315260-32315780","Roadmap Epigenomics"
"iPS DF 6.9","Hists & Pols","H3K36me3","13:32315600-32315740","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K4me1","13:32314260-32314540","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K4me1","13:32314640-32315380","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K4me1","13:32316080-32316880","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K4me3","13:32314842-32316747","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K9ac","13:32314926-32316743","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K36me3","13:32316720-32316940","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K36me3","13:32317020-32317240","Roadmap Epigenomics"
"iPS-20b","Hists & Pols","H3K36me3","13:32317340-32318420","Roadmap Epigenomics"
"naive B cell (To)","Hists & Pols","H3K4me1","13:32314280-32315440","BLUEPRINT"
"naive B cell (To)","Hists & Pols","H3K4me1","13:32316080-32316620","BLUEPRINT"
"naive B cell (To)","Hists & Pols","H3K4me3","13:32314954-32316347","BLUEPRINT"
"naive B cell (VB)","Hists & Pols","H3K4me1","13:32314500-32315420","BLUEPRINT"
"naive B cell (VB)","Hists & Pols","H3K4me1","13:32316000-32317180","BLUEPRINT"
"naive B cell (VB)","Hists & Pols","H3K27ac","13:32314729-32316129","BLUEPRINT"
"naive B cell (VB)","Hists & Pols","H3K4me3","13:32314944-32316447","BLUEPRINT"
"neutrophil (CB)","Hists & Pols","H3K4me1","13:32313440-32317300","BLUEPRINT"
"neutrophil (CB)","Hists & Pols","H3K27ac","13:32314827-32315537","BLUEPRINT"
"neutrophil (CB)","Hists & Pols","H3K4me3","13:32315014-32316160","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K4me1","13:32312240-32315480","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K4me1","13:32315500-32318900","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K27ac","13:32314724-32315630","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K4me3","13:32314726-32316363","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H2A.Zac","13:32314792-32315563","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K36me3","13:32314920-32315380","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K36me3","13:32315460-32315980","BLUEPRINT"
"neutrophil (VB)","Hists & Pols","H3K36me3","13:32316820-32317160","BLUEPRINT"
"neutrophil myelocyte (BM)","Hists & Pols","H3K4me1","13:32314060-32315420","BLUEPRINT"
"neutrophil myelocyte (BM)","Hists & Pols","H3K4me1","13:32315880-32318860","BLUEPRINT"
"neutrophil myelocyte (BM)","Hists & Pols","H3K27ac","13:32314951-32316412","BLUEPRINT"
"neutrophil myelocyte (BM)","Hists & Pols","H3K4me3","13:32315196-32316224","BLUEPRINT"
"neutrophil myelocyte (BM)","Hists & Pols","H3K36me3","13:32316840-32318060","BLUEPRINT"
